x,y,category,kNN_hit
-34.85743,9.944953,BABYFOOD,1.0
-34.8593,9.943231,BABYFOOD,1.0
-34.724453,9.8266,BABYFOOD,1.0
-33.757553,10.75259,BABYFOOD,1.0
-33.848194,10.349648,BABYFOOD,1.0
-33.889626,10.36362,BABYFOOD,1.0
-34.576862,9.720187,BABYFOOD,1.0
-34.1304,10.167833,BABYFOOD,1.0
-32.44832,9.432712,BABYFOOD,0.8571428571428571
-32.19678,9.292014,BABYFOOD,0.8571428571428571
-31.499523,8.791797,BABYFOOD,0.8571428571428571
-33.13317,9.399146,BABYFOOD,1.0
-33.136166,9.399029,BABYFOOD,1.0
-31.40957,8.779508,BABYFOOD,0.8571428571428571
-31.711407,8.839455,BABYFOOD,0.8571428571428571
-47.47065,8.429834,BABYFOOD,1.0
-47.466434,8.348531,BABYFOOD,1.0
-45.639465,9.224002,BABYFOOD,1.0
-56.62383,15.091058,BABYFOOD,0.42857142857142855
-55.925938,18.568642,BABYFOOD,1.0
-54.89478,18.088087,BABYFOOD,0.8571428571428571
-55.96647,18.961582,BABYFOOD,1.0
-45.66803,9.350837,BABYFOOD,1.0
-56.791584,20.785723,BABYFOOD,1.0
-45.521633,9.26595,BABYFOOD,1.0
-54.709232,24.627007,BABYFOOD,0.0
-60.77733,24.38578,BABYFOOD,1.0
-60.76056,24.361536,BABYFOOD,1.0
-58.698868,22.447083,BABYFOOD,1.0
-58.87186,23.32609,BABYFOOD,0.7142857142857143
-58.80986,23.475868,BABYFOOD,0.5714285714285714
-57.67916,22.034338,BABYFOOD,1.0
-49.008144,8.003647,BABYFOOD,1.0
-58.131866,22.280054,BABYFOOD,1.0
-57.233284,21.45635,BABYFOOD,0.8571428571428571
-56.358517,19.625116,BABYFOOD,1.0
-60.021317,24.224312,BABYFOOD,0.8571428571428571
-48.59289,7.715873,BABYFOOD,1.0
-48.656685,7.7747793,BABYFOOD,1.0
-48.62918,7.7623277,BABYFOOD,1.0
-48.62594,7.761671,BABYFOOD,1.0
-57.064274,21.34529,BABYFOOD,0.8571428571428571
-57.272964,22.147882,BABYFOOD,0.7142857142857143
-60.156017,24.383074,BABYFOOD,0.8571428571428571
-60.321423,23.898273,BABYFOOD,1.0
-45.423832,8.72913,BABYFOOD,1.0
-48.151474,9.087526,BABYFOOD,1.0
-47.936237,8.857126,BABYFOOD,1.0
-58.395855,13.200791,BABYFOOD,0.42857142857142855
-55.968857,11.141625,BABYFOOD,0.8571428571428571
-55.98418,11.200412,BABYFOOD,0.8571428571428571
-51.02623,7.894747,BABYFOOD,0.5714285714285714
-62.371304,25.807959,BABYFOOD,1.0
-62.377186,25.812256,BABYFOOD,1.0
-58.037727,11.006472,BABYFOOD,0.8571428571428571
-61.29409,20.849773,BABYFOOD,1.0
-61.310757,20.850918,BABYFOOD,1.0
-50.348125,6.302704,BABYFOOD,1.0
-56.129715,-1.7635834,BABYFOOD,1.0
-55.615475,-1.7254195,BABYFOOD,1.0
-59.442474,3.3992398,BABYFOOD,1.0
-54.879356,9.923978,BABYFOOD,0.7142857142857143
-54.901478,9.948861,BABYFOOD,0.7142857142857143
-57.27801,10.947181,BABYFOOD,1.0
-59.028072,11.865055,BABYFOOD,0.7142857142857143
-59.47093,3.500643,BABYFOOD,1.0
-53.726864,0.18637033,BABYFOOD,1.0
-61.11048,2.6757517,BABYFOOD,0.8571428571428571
-61.11004,2.6762948,BABYFOOD,0.8571428571428571
-56.50881,-0.11841378,BABYFOOD,1.0
-56.70093,-0.18539974,BABYFOOD,1.0
-54.450954,5.175166,BABYFOOD,1.0
-54.352737,5.15146,BABYFOOD,1.0
-60.314716,4.1299195,BABYFOOD,0.8571428571428571
-56.74681,5.0870075,BABYFOOD,1.0
-56.14037,5.5105205,BABYFOOD,1.0
-54.311684,2.090208,BABYFOOD,1.0
-54.900383,-1.3782964,BABYFOOD,1.0
-58.358543,3.228007,BABYFOOD,1.0
-55.78252,1.7991016,BABYFOOD,1.0
-55.535275,-2.7327604,BABYFOOD,1.0
-55.65493,-2.747798,BABYFOOD,1.0
-54.02061,1.1287069,BABYFOOD,1.0
-54.693596,-0.8692655,BABYFOOD,1.0
-54.59521,-0.7746651,BABYFOOD,1.0
-55.634064,0.44341028,BABYFOOD,1.0
-55.98588,0.59376043,BABYFOOD,1.0
-54.309303,0.49447384,BABYFOOD,1.0
-54.31281,0.6969482,BABYFOOD,1.0
-55.769028,-0.30789372,BABYFOOD,1.0
-55.23768,0.96734786,BABYFOOD,1.0
-56.9014,-5.5290303,BABYFOOD,1.0
-58.948753,2.4549923,BABYFOOD,1.0
-57.1151,-6.280435,BABYFOOD,1.0
-54.31154,3.289773,BABYFOOD,1.0
-55.35956,0.10113767,BABYFOOD,1.0
-55.03486,2.3449352,BABYFOOD,1.0
-56.345684,-3.9895544,BABYFOOD,1.0
-53.773445,-1.842424,BABYFOOD,1.0
-56.95778,-3.961188,BABYFOOD,1.0
-56.451595,-4.2057514,BABYFOOD,1.0
-56.747795,-4.8788805,BABYFOOD,1.0
-60.08547,1.7698197,BABYFOOD,1.0
-56.47654,-5.5169697,BABYFOOD,1.0
-58.40953,2.0716977,BABYFOOD,1.0
-56.5252,-5.947122,BABYFOOD,1.0
-54.031574,-2.6356475,BABYFOOD,1.0
-55.528133,-4.2345977,BABYFOOD,1.0
-55.917492,-5.110027,BABYFOOD,1.0
-56.352978,-4.765002,BABYFOOD,1.0
-19.442635,-8.045753,BABYFOOD,1.0
-19.329323,-8.000484,BABYFOOD,1.0
-18.618053,-7.8394227,BABYFOOD,1.0
-51.415382,1.062951,BABYFOOD,1.0
-51.28107,2.2572968,BABYFOOD,1.0
-20.321487,-8.979199,BABYFOOD,1.0
-19.181108,-8.077746,BABYFOOD,1.0
-51.290455,1.281204,BABYFOOD,1.0
-50.52743,0.86772203,BABYFOOD,1.0
-18.994366,-7.1590056,BABYFOOD,1.0
-19.53625,-7.7649245,BABYFOOD,1.0
-51.50492,0.7970791,BABYFOOD,1.0
-46.44806,5.9766817,BABYFOOD,1.0
-46.43788,5.9701195,BABYFOOD,1.0
-46.213898,5.9188013,BABYFOOD,1.0
-46.18556,5.7951617,BABYFOOD,1.0
-25.459446,-16.227882,BABYFOOD,0.0
-51.38632,2.8101487,BABYFOOD,1.0
-18.422125,-7.7574887,BABYFOOD,1.0
-18.579304,-7.6912093,BABYFOOD,1.0
-8.22707,-3.153281,BABYFOOD,0.0
-20.481256,-14.680088,BABYFOOD,0.2857142857142857
-20.5643,-14.682163,BABYFOOD,0.42857142857142855
-20.78767,-14.64924,BABYFOOD,0.2857142857142857
-56.83264,2.0447073,BABYFOOD,1.0
-55.047413,1.5204835,BABYFOOD,1.0
-49.5135,4.712184,BABYFOOD,1.0
-49.518936,4.602346,BABYFOOD,1.0
-49.742702,6.25778,BABYFOOD,1.0
-58.559536,3.067814,BABYFOOD,1.0
-58.549282,3.0663815,BABYFOOD,1.0
-53.63597,-1.1650016,BABYFOOD,1.0
-58.122986,4.1808267,BABYFOOD,1.0
-58.132008,4.1621056,BABYFOOD,1.0
-52.625248,-1.0412544,BABYFOOD,1.0
-48.37351,4.967302,BABYFOOD,1.0
-48.414986,4.956047,BABYFOOD,1.0
-54.014565,-2.0559216,BABYFOOD,1.0
-55.958195,-4.4995875,BABYFOOD,1.0
-58.5084,23.045767,BABYFOOD,0.7142857142857143
-46.376328,7.964068,BABYFOOD,1.0
-46.460747,7.9692593,BABYFOOD,1.0
-54.280396,-0.30405465,BABYFOOD,1.0
-60.70724,23.364737,BABYFOOD,1.0
-61.422115,22.942389,BABYFOOD,1.0
-59.84603,23.040016,BABYFOOD,1.0
-55.710346,18.647223,BABYFOOD,1.0
-51.204655,7.5343184,BABYFOOD,0.5714285714285714
-62.414917,25.849907,BABYFOOD,1.0
-55.19936,3.795413,BABYFOOD,1.0
-57.728775,22.828207,BABYFOOD,0.5714285714285714
-53.479294,5.8232136,BABYFOOD,1.0
-58.89553,13.211356,BABYFOOD,0.42857142857142855
-61.10334,20.85916,BABYFOOD,1.0
-0.54186654,27.666815,CHICKEN,0.8571428571428571
0.23768261,28.324305,CHICKEN,0.8571428571428571
-4.768082,33.597874,CHICKEN,1.0
-0.8229578,28.539013,CHICKEN,0.8571428571428571
-3.2559524,33.086735,CHICKEN,1.0
-6.344496,33.485237,CHICKEN,0.8571428571428571
-5.6802206,34.38819,CHICKEN,0.8571428571428571
-4.9231696,35.207428,CHICKEN,0.8571428571428571
-2.269879,34.745296,CHICKEN,1.0
-0.96565044,41.408867,CHICKEN,0.8571428571428571
-4.5500746,38.94808,CHICKEN,0.8571428571428571
-4.0265265,39.13517,CHICKEN,1.0
-2.218887,38.58782,CHICKEN,1.0
6.3184886,25.173542,CHICKEN,0.42857142857142855
7.4199877,24.865576,CHICKEN,0.42857142857142855
7.8563595,23.78198,CHICKEN,0.42857142857142855
9.103392,23.262463,CHICKEN,0.42857142857142855
9.179618,23.735312,CHICKEN,0.42857142857142855
31.864674,29.551228,CHICKEN,0.8571428571428571
32.835598,29.610298,CHICKEN,0.8571428571428571
36.510517,19.495602,CHICKEN,0.14285714285714285
36.492958,19.465055,CHICKEN,0.14285714285714285
1.4455572,35.78234,CHICKEN,0.5714285714285714
4.134011,31.322004,CHICKEN,1.0
-5.9459295,42.396286,CHICKEN,0.8571428571428571
1.610525,36.747818,CHICKEN,0.7142857142857143
1.8165334,35.049698,CHICKEN,0.42857142857142855
2.101338,31.004662,CHICKEN,1.0
4.8782425,30.19308,CHICKEN,1.0
4.7465014,31.984232,CHICKEN,1.0
4.3698425,32.898605,CHICKEN,1.0
3.2054346,32.659264,CHICKEN,0.7142857142857143
0.33182892,43.58244,CHICKEN,1.0
-2.242378,44.25103,CHICKEN,1.0
-4.2214603,42.9081,CHICKEN,1.0
-3.2150686,40.497173,CHICKEN,1.0
2.146983,41.59025,CHICKEN,0.8571428571428571
4.5989738,35.697044,CHICKEN,0.8571428571428571
-3.6638324,37.69594,CHICKEN,1.0
-2.0636032,37.568855,CHICKEN,1.0
10.657797,17.538942,CHICKEN,0.0
5.026403,27.210115,CHICKEN,0.8571428571428571
5.2910285,29.147175,CHICKEN,1.0
4.5446453,29.59099,CHICKEN,1.0
-1.6155646,31.250095,CHICKEN,1.0
-1.1958088,32.431973,CHICKEN,1.0
2.583585,40.871544,CHICKEN,0.8571428571428571
5.40003,33.96045,CHICKEN,1.0
5.3455167,35.783916,CHICKEN,1.0
3.7649784,39.522434,CHICKEN,0.8571428571428571
-5.242788,41.55279,CHICKEN,0.8571428571428571
-6.529441,33.756668,CHICKEN,0.8571428571428571
-2.743697,44.426727,CHICKEN,1.0
-5.1497693,42.789238,CHICKEN,1.0
-5.054605,40.607933,CHICKEN,0.7142857142857143
-3.5183034,42.619553,CHICKEN,1.0
-4.895644,43.42045,CHICKEN,1.0
-4.621391,43.224957,CHICKEN,1.0
-4.0099096,40.86726,CHICKEN,1.0
-2.9789822,36.390118,CHICKEN,1.0
4.989126,31.084314,CHICKEN,1.0
4.84968,33.414616,CHICKEN,0.8571428571428571
-4.0249567,36.377567,CHICKEN,0.8571428571428571
-2.3621888,35.909424,CHICKEN,1.0
-1.4864961,40.6852,CHICKEN,0.8571428571428571
4.424492,37.054153,CHICKEN,1.0
-3.2897198,38.49809,CHICKEN,1.0
-2.2664502,38.138737,CHICKEN,1.0
-3.1653395,34.53536,CHICKEN,1.0
4.9190598,30.877455,CHICKEN,1.0
4.8144236,32.77474,CHICKEN,1.0
-4.2120333,35.308258,CHICKEN,1.0
-2.3435388,34.81658,CHICKEN,1.0
-1.543258,40.69237,CHICKEN,0.8571428571428571
4.353106,36.67145,CHICKEN,1.0
-3.8231869,37.70821,CHICKEN,1.0
-2.4954784,37.399258,CHICKEN,1.0
5.1162324,27.30394,CHICKEN,0.8571428571428571
5.4086933,28.328308,CHICKEN,1.0
5.2776423,28.647997,CHICKEN,1.0
-1.0314095,33.284557,CHICKEN,1.0
3.4467447,40.12924,CHICKEN,0.8571428571428571
5.93524,36.18861,CHICKEN,0.7142857142857143
3.8229613,39.790127,CHICKEN,0.8571428571428571
-2.9693072,33.911423,CHICKEN,1.0
5.041262,30.816952,CHICKEN,1.0
4.9741106,32.4026,CHICKEN,1.0
-4.107235,34.67488,CHICKEN,1.0
-2.2683868,34.17427,CHICKEN,1.0
-1.5423683,40.705936,CHICKEN,0.8571428571428571
4.2636995,36.292736,CHICKEN,1.0
-4.3584003,36.62201,CHICKEN,0.8571428571428571
-2.4997241,36.521286,CHICKEN,1.0
-1.805278,32.54204,CHICKEN,1.0
4.7093825,28.586887,CHICKEN,1.0
4.0262246,28.93113,CHICKEN,1.0
-1.7254205,31.409748,CHICKEN,1.0
-1.3904499,32.486465,CHICKEN,1.0
-0.22885272,40.082047,CHICKEN,0.8571428571428571
2.261808,38.62103,CHICKEN,1.0
-0.35886636,39.12542,CHICKEN,0.8571428571428571
-1.0397561,38.6931,CHICKEN,0.8571428571428571
-0.57846254,28.037655,CHICKEN,0.8571428571428571
1.6083093,31.567505,CHICKEN,1.0
2.2557845,32.93286,CHICKEN,0.42857142857142855
1.3174546,42.696976,CHICKEN,1.0
3.166333,38.038044,CHICKEN,1.0
31.83434,29.67343,CHICKEN,1.0
31.813662,29.281002,CHICKEN,0.8571428571428571
0.3857232,43.58726,CHICKEN,1.0
-3.942795,42.411263,CHICKEN,1.0
2.1032813,41.875763,CHICKEN,0.8571428571428571
4.0680532,38.027264,CHICKEN,0.7142857142857143
-2.8613446,35.164692,CHICKEN,1.0
2.0750968,30.893747,CHICKEN,1.0
3.8728788,30.687386,CHICKEN,1.0
1.4507605,41.90928,CHICKEN,1.0
4.944489,35.366432,CHICKEN,1.0
32.116096,29.753553,CHICKEN,1.0
32.056614,29.439692,CHICKEN,0.8571428571428571
0.33074874,43.525223,CHICKEN,1.0
2.6423764,37.246044,CHICKEN,1.0
2.0644326,41.048428,CHICKEN,1.0
5.9793625,34.938385,CHICKEN,0.7142857142857143
-0.11013089,27.473658,CHICKEN,0.8571428571428571
-0.93091786,27.750658,CHICKEN,0.8571428571428571
0.4303332,28.60333,CHICKEN,0.8571428571428571
32.693436,30.195883,CHICKEN,0.8571428571428571
32.397377,30.148851,CHICKEN,1.0
16.099712,51.235397,TURKEY,1.0
15.478332,49.826496,TURKEY,1.0
-6.6065183,38.019012,TURKEY,1.0
15.45124,49.151554,TURKEY,1.0
-6.273916,38.69641,TURKEY,0.8571428571428571
6.4779444,24.414265,TURKEY,0.5714285714285714
9.018098,23.355015,TURKEY,0.42857142857142855
32.384983,28.654417,TURKEY,0.0
34.122692,30.82756,TURKEY,0.0
37.259315,23.711193,TURKEY,0.14285714285714285
37.30096,23.91762,TURKEY,0.14285714285714285
7.759115,40.858414,TURKEY,1.0
-8.623656,36.34215,TURKEY,1.0
12.52712,48.3853,TURKEY,1.0
-6.9292254,39.230045,TURKEY,0.8571428571428571
12.982546,46.462997,TURKEY,1.0
-7.360019,36.634575,TURKEY,1.0
10.953212,46.9251,TURKEY,1.0
-6.615849,40.44679,TURKEY,0.5714285714285714
11.994332,45.840805,TURKEY,1.0
-7.6555333,36.849678,TURKEY,1.0
7.7770233,34.754055,TURKEY,0.5714285714285714
-7.2719564,36.253212,TURKEY,0.8571428571428571
11.694061,48.296646,TURKEY,1.0
10.444382,48.64501,TURKEY,1.0
12.329739,45.147263,TURKEY,1.0
-7.3557773,37.214725,TURKEY,1.0
2.582285,34.28418,TURKEY,0.5714285714285714
-5.525698,36.508743,TURKEY,0.42857142857142855
14.034094,48.699036,TURKEY,1.0
11.79667,46.930496,TURKEY,1.0
8.371884,48.289204,TURKEY,1.0
11.097428,46.36193,TURKEY,1.0
7.531232,42.716488,TURKEY,1.0
6.096451,25.752039,TURKEY,0.42857142857142855
9.732903,23.6693,TURKEY,0.42857142857142855
8.705127,45.91681,TURKEY,1.0
7.620446,45.242107,TURKEY,1.0
10.752785,43.848583,TURKEY,1.0
9.248918,40.830948,TURKEY,1.0
8.554024,45.26006,TURKEY,1.0
6.9181557,44.01376,TURKEY,1.0
10.378625,43.655605,TURKEY,1.0
8.065107,40.549294,TURKEY,1.0
5.282703,38.83126,TURKEY,0.42857142857142855
7.0031724,37.61038,TURKEY,0.8571428571428571
3.9465046,41.744846,TURKEY,0.14285714285714285
7.1899786,39.959557,TURKEY,1.0
8.138573,45.77982,TURKEY,1.0
7.4176764,45.339417,TURKEY,1.0
8.1715355,45.332294,TURKEY,1.0
-6.7022142,40.69515,TURKEY,0.5714285714285714
10.3347025,43.33584,TURKEY,1.0
9.0230465,41.08282,TURKEY,1.0
10.194366,43.301838,TURKEY,1.0
8.653493,41.148853,TURKEY,1.0
5.4619045,38.551105,TURKEY,0.42857142857142855
6.143437,37.7268,TURKEY,0.42857142857142855
3.720151,42.2307,TURKEY,0.14285714285714285
-0.55758387,39.029373,TURKEY,0.0
15.650026,50.92398,TURKEY,1.0
14.4822235,49.371143,TURKEY,1.0
13.19478,48.56341,TURKEY,1.0
14.574708,48.23122,TURKEY,1.0
7.633407,42.585304,TURKEY,1.0
6.538912,24.199934,TURKEY,0.5714285714285714
9.063995,23.06968,TURKEY,0.42857142857142855
11.706416,48.07968,TURKEY,1.0
10.467576,48.7227,TURKEY,1.0
12.882882,45.75124,TURKEY,1.0
11.006361,40.529346,TURKEY,1.0
10.450256,46.594547,TURKEY,1.0
7.055693,44.09982,TURKEY,1.0
11.575623,45.164223,TURKEY,1.0
8.492388,39.839794,TURKEY,1.0
7.62505,34.480423,TURKEY,0.5714285714285714
7.4184613,35.855732,TURKEY,0.7142857142857143
11.012322,48.203022,TURKEY,1.0
10.020211,48.554142,TURKEY,1.0
12.122934,44.625446,TURKEY,1.0
10.733157,40.496693,TURKEY,1.0
2.6314802,34.02415,TURKEY,0.5714285714285714
3.4193678,34.36905,TURKEY,0.5714285714285714
16.512545,51.706722,TURKEY,1.0
16.128958,51.098087,TURKEY,1.0
15.24351,50.45735,TURKEY,1.0
16.045107,50.58327,TURKEY,1.0
7.6993375,42.546764,TURKEY,1.0
6.416482,24.504238,TURKEY,0.5714285714285714
9.3624935,23.316916,TURKEY,0.42857142857142855
14.4075985,49.67645,TURKEY,1.0
12.986438,49.106575,TURKEY,1.0
14.012888,48.231106,TURKEY,1.0
13.815712,46.140293,TURKEY,1.0
14.829407,48.457767,TURKEY,1.0
7.109936,44.05137,TURKEY,1.0
13.994676,47.518795,TURKEY,1.0
8.469546,40.056736,TURKEY,1.0
7.9913425,34.900738,TURKEY,0.5714285714285714
7.6703215,36.16009,TURKEY,0.7142857142857143
13.66148,49.41568,TURKEY,1.0
12.19915,49.040955,TURKEY,1.0
12.930618,46.9593,TURKEY,1.0
9.141861,37.761417,TURKEY,1.0
2.5554404,34.41705,TURKEY,0.5714285714285714
3.370911,34.769344,TURKEY,0.5714285714285714
-7.690304,39.499973,TURKEY,1.0
-3.797867,19.975174,TURKEY,0.0
-2.4176335,32.31672,CHICKEN,1.0
2.054549,42.387245,CHICKEN,0.8571428571428571
-2.358391,40.17717,CHICKEN,1.0
-31.20495,10.471357,CHICKEN,0.0
1.2982069,34.003643,CHICKEN,0.42857142857142855
-56.612846,14.102401,SOUP,0.42857142857142855
-35.85268,19.064507,SOUP,1.0
-52.06888,28.256708,SOUP,1.0
-36.412025,19.327675,SOUP,1.0
-36.513367,18.377184,SOUP,1.0
-45.865185,18.829596,SOUP,1.0
-50.537357,28.844637,SOUP,1.0
-56.53119,14.397913,SOUP,0.42857142857142855
-40.784416,14.015048,SOUP,1.0
-41.64374,16.07453,SOUP,1.0
-43.051178,18.232866,SOUP,1.0
-42.979607,14.416429,SOUP,1.0
-47.889927,21.580847,SOUP,1.0
-53.9477,21.61237,SOUP,0.8571428571428571
-44.168045,16.67532,SOUP,1.0
-57.685017,23.639887,SOUP,0.5714285714285714
-42.603973,16.92689,SOUP,1.0
-41.241184,19.589504,SOUP,1.0
-56.853832,23.245657,SOUP,0.7142857142857143
-62.419693,4.0545797,SOUP,0.14285714285714285
-51.366184,27.38433,SOUP,1.0
-51.091488,28.230608,SOUP,1.0
-41.593353,10.861829,SOUP,1.0
-45.78539,17.88262,SOUP,1.0
-43.037357,18.714533,SOUP,1.0
-40.048008,16.958303,SOUP,1.0
-47.63954,19.922413,SOUP,1.0
-41.930134,20.593828,SOUP,1.0
-51.66752,27.783705,SOUP,1.0
-55.450912,23.77281,SOUP,0.8571428571428571
-44.15661,17.005806,SOUP,1.0
-42.936222,14.31623,SOUP,1.0
-50.587997,28.197224,SOUP,1.0
-43.085434,16.505821,SOUP,1.0
-42.35757,15.059601,SOUP,1.0
-43.028103,25.059929,SOUP,1.0
-36.591335,19.095266,SOUP,1.0
-57.10639,23.467804,SOUP,0.7142857142857143
-37.191826,19.699968,SOUP,1.0
-40.878933,16.898058,SOUP,1.0
-41.730526,17.154083,SOUP,1.0
-41.1085,17.589434,SOUP,1.0
-42.284286,17.018246,SOUP,1.0
-40.685368,18.80893,SOUP,1.0
-41.460896,15.012074,SOUP,1.0
-50.452858,30.21667,SOUP,1.0
-41.105476,19.513369,SOUP,1.0
-43.27797,16.56092,SOUP,1.0
-56.644596,23.059803,SOUP,0.7142857142857143
-55.606045,25.004135,SOUP,0.8571428571428571
-56.263855,24.755259,SOUP,0.8571428571428571
-50.921818,9.865033,SOUP,0.5714285714285714
-54.390404,23.056059,SOUP,0.8571428571428571
-57.802982,24.04591,SOUP,0.5714285714285714
-56.489006,22.799633,SOUP,0.5714285714285714
-13.9542055,-17.589935,SOUP,0.7142857142857143
-13.949008,-17.591791,SOUP,0.5714285714285714
-15.746885,-16.672646,SOUP,1.0
-15.777795,-16.659235,SOUP,1.0
-17.347492,-15.877693,SOUP,0.7142857142857143
-41.95074,17.40607,SOUP,1.0
-42.59566,14.26766,SOUP,1.0
-39.304726,19.20137,SOUP,1.0
-50.329494,29.552921,SOUP,1.0
-41.052517,21.616943,SOUP,1.0
-41.20911,22.178425,SOUP,1.0
-40.44073,22.361652,SOUP,1.0
-44.058186,11.850068,SOUP,1.0
-42.241173,10.87156,SOUP,1.0
-43.875694,11.772414,SOUP,1.0
-41.14362,21.82046,SOUP,1.0
-43.080555,24.617538,SOUP,1.0
-39.14061,21.02297,SOUP,1.0
-41.29829,22.14062,SOUP,1.0
-44.070663,11.793448,SOUP,1.0
-40.426754,21.387583,SOUP,1.0
-50.410404,27.383636,SOUP,1.0
-43.895454,20.5906,SOUP,1.0
-36.589252,18.130415,SOUP,1.0
-50.468765,25.46937,SOUP,1.0
-39.502052,20.690985,SOUP,1.0
-50.281574,26.537489,SOUP,1.0
-44.29051,21.599382,SOUP,1.0
-42.757935,21.878712,SOUP,1.0
-44.384766,19.434301,SOUP,1.0
-45.166157,19.768736,SOUP,1.0
-46.58501,13.354258,SOUP,1.0
-46.855488,21.147608,SOUP,1.0
-61.024883,3.8903944,SOUP,0.14285714285714285
-50.319565,25.865307,SOUP,1.0
-42.471024,10.906201,SOUP,1.0
-45.190777,20.071383,SOUP,1.0
-43.052387,20.17638,SOUP,1.0
-45.143116,20.855915,SOUP,1.0
-46.59715,14.066006,SOUP,1.0
